"ID" "Faltas" "Dever" "Gosta_escola" "Notas" "Alcool_vida" "Inalantes_vida" "Sexo" "Idade" "Ano_escolar" "Autoeficacia" "Intromissao" "Antisocial" "Futuro2"
"1" 1 "Mais de 5 dias" "Nunca" "Detesto" "Baixas" "Não" "Sim" 2 14 7 1.06 1.73 1.91 "EU VOU SER UM G"
"2" 2 "Nenhum dia" "Sempre" "Gosto bastante" "Altas" "Sim" "Sim" 2 11 6 1.2 2.44 1.07 "CALMA, TRANQUIL"
"3" 3 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 11 6 1.46 0.95 1.06 "TER FILHOS SE C"
"6" 6 "Nenhum dia" "Muitas vezes" "Gosto bastante" "Médias" "Sim" "Sim" 2 13 6 1.6 2.56 1.18 "VOU TER DOIS FI"
"7" 7 "Nenhum dia" "Nunca" "Detesto" "Baixas" "Não" "Sim" 2 13 6 1.62 4 2.29 "EU TRABALHANDO,"
"8" 8 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 13 7 1.82 2.45 1.36 "NORMAL"
"9" 9 "Nenhum dia" "Sempre" "Não gosto" "Médias" "Não" "Sim" 2 13 6 1.95 5.04 0.98 "SENDO BOMBEIRO"
"10" 10 "1 ou 2 dias" "Sempre" "Gosto pouco" "Altas" "Não" "Não" 1 11 6 1.98 0.87 1.34 "UMA PESSOA COM "
"11" 11 "Nenhum dia" "Raramente" "Detesto" "Baixas" "Não" "Não" 1 14 9 2 1.51 2.12 "UMA VIDA COM BO"
"12" 12 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 2 14 6 2 2.97 1.75 "UM TRABALHADOR "
"13" 13 "3 a 5 dias" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 1 12 6 2.08 1.02 1.32 "EU DELEGADA NUM"
"14" 14 "3 a 5 dias" "Raramente" "Detesto" "Baixas" "Sim" "Sim" 1 13 8 2.12 4.19 2.64 "N\XE3O SEI DIRE"
"16" 16 "Nenhum dia" "Raramente" "Gosto pouco" "Baixas" "Não" "Sim" 1 12 6 2.24 3.98 1.37 "BOMBEIRA"
"17" 17 "Nenhum dia" "Sempre" "Gosto bastante" "Médias" "Sim" "Sim" 1 12 6 2.25 0.97 1.02 "PETO DA MINHA F"
"18" 18 "Mais de 5 dias" "Raramente" "Gosto pouco" "Baixas" "Não" "Sim" 1 14 8 2.28 2.06 2.41 "BOM ME IMAGIRIA"
"19" 19 "Nenhum dia" "Sempre" "Adoro" "Baixas" "Não" "Não" 1 13 7 2.28 4.26 2.75 "EU IMAGINO QUE "
"20" 20 "1 ou 2 dias" "Várias vezes" "Gosto pouco" "Médias" "Não" "Sim" 2 14 7 2.3 1.24 2.7 "RICO E SOLTEIRO"
"22" 22 "Nenhum dia" "Várias vezes" "Detesto" "Médias" "Não" "Sim" 2 14 9 2.32 2.55 1.69 "UMA MERDA"
"23" 23 "Nenhum dia" "Muitas vezes" "Não gosto" "Médias" "Não" "Não" 1 12 7 2.36 1.73 1.26 "NORMAL, ASSIM C"
"25" 25 "Mais de 5 dias" "Raramente" "Detesto" "Baixas" "Não" "Sim" 1 14 9 2.41 2.04 2.39 "FORMADA EM POLI"
"27" 27 "Nenhum dia" "Raramente" "Gosto pouco" "Baixas" "Não" "Sim" 1 14 9 2.43 3.91 3.31 "UMA VIDA BEM SU"
"28" 28 "Nenhum dia" "Muitas vezes" "Gosto pouco" "Médias" "Não" "Sim" 1 13 7 2.45 1.92 2.4 "EU QUERO ESTUDA"
"30" 30 "1 ou 2 dias" "Raramente" "Gosto pouco" "Médias" "Não" "Não" 1 12 6 2.51 0.97 2.02 "UMA PESSOA FAMO"
"31" 31 "1 ou 2 dias" "Muitas vezes" "Não gosto" "Médias" "Não" "Sim" 2 14 7 2.51 1.28 1.42 "QUE SEJA BEM MO"
"32" 32 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Não" "Não" 2 14 9 2.53 2.17 3.17 "EU ME IMAGINO B"
"33" 33 "Nenhum dia" "Várias vezes" "Gosto pouco" "Médias" "Sim" "Sim" 2 12 7 2.58 1.05 0.96 "N\XE3O SEI"
"34" 34 "3 a 5 dias" "Muitas vezes" "Gosto pouco" "Altas" "Não" "Sim" 1 NA 9 2.6 4.03 2.28 "EU TRABALHANDO "
"35" 35 "Nenhum dia" "Raramente" "Gosto bastante" "Médias" "Sim" "Sim" 2 12 6 2.64 1.03 1.45 "EU QUERO SER PR"
